epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,951.905,2.98612,2.1744,2.54115,0.52568,0.37218,0.42655,0.19543,2.14313,1.62311,1.64524,0.000665713,0.000665713,0.000665713
2,2629.13,1.93899,1.32464,1.49056,0.66396,0.46469,0.56308,0.29408,1.77518,1.31452,1.42663,0.00127962,0.00127962,0.00127962
3,4222.68,1.72801,1.13824,1.34223,0.71824,0.52242,0.63311,0.34642,1.62142,1.12974,1.33474,0.00184072,0.00184072,0.00184072
4,7756.46,1.59535,1.02958,1.26523,0.74962,0.55778,0.67893,0.38834,1.5053,1.05482,1.25834,0.0017624,0.0017624,0.0017624
5,11717.1,1.5052,0.94668,1.21146,0.77034,0.57839,0.70476,0.41774,1.41856,1.01082,1.2119,0.0016832,0.0016832,0.0016832
6,15553.1,1.43585,0.89426,1.17556,0.78635,0.5959,0.73492,0.44474,1.36691,0.90413,1.19014,0.001604,0.001604,0.001604
7,19686.6,1.40093,0.87063,1.14771,0.80544,0.61232,0.75292,0.45981,1.33749,0.89069,1.15708,0.0015248,0.0015248,0.0015248
8,24023.2,1.36613,0.84261,1.12074,0.80428,0.62217,0.76278,0.47046,1.31008,0.86166,1.1417,0.0014456,0.0014456,0.0014456
9,25240.7,1.33051,0.81685,1.10433,0.81417,0.63853,0.78149,0.49119,1.26618,0.82322,1.12481,0.0013664,0.0013664,0.0013664
10,26275.1,1.29962,0.7933,1.08681,0.81531,0.64622,0.78779,0.50229,1.24681,0.80328,1.10813,0.0012872,0.0012872,0.0012872
11,26858.4,1.27675,0.78077,1.0795,0.81497,0.6631,0.79653,0.51242,1.22068,0.78461,1.09521,0.001208,0.001208,0.001208
12,27647.7,1.25278,0.75762,1.06419,0.8256,0.66612,0.80726,0.52563,1.17928,0.75638,1.0761,0.0011288,0.0011288,0.0011288
13,28306.7,1.22311,0.74032,1.0547,0.82268,0.67724,0.81246,0.53102,1.174,0.75029,1.08219,0.0010496,0.0010496,0.0010496
14,29150.8,1.20975,0.73066,1.0472,0.83688,0.67953,0.81823,0.54033,1.14774,0.73123,1.06415,0.0009704,0.0009704,0.0009704
15,30103.6,1.19279,0.71663,1.04003,0.83058,0.68671,0.81941,0.544,1.12612,0.71547,1.05179,0.0008912,0.0008912,0.0008912
16,30674.8,1.13352,0.6791,1.01832,0.84249,0.68792,0.82519,0.54826,1.12662,0.70871,1.05762,0.000812,0.000812,0.000812
17,31209.3,1.10544,0.66287,1.00678,0.8434,0.69809,0.83274,0.55842,1.10001,0.69343,1.05234,0.0007328,0.0007328,0.0007328
18,31744.2,1.08393,0.64835,0.99787,0.84225,0.70572,0.83659,0.56704,1.07687,0.68055,1.04149,0.0006536,0.0006536,0.0006536
19,32282.9,1.06362,0.63631,0.98765,0.84731,0.70574,0.83886,0.56977,1.06658,0.66752,1.03798,0.0005744,0.0005744,0.0005744
20,32821.4,1.04393,0.62521,0.97952,0.85144,0.71431,0.84288,0.57716,1.04822,0.6594,1.03007,0.0004952,0.0004952,0.0004952
21,33360.5,1.02563,0.61399,0.97327,0.85356,0.71298,0.84592,0.5802,1.03853,0.64928,1.03105,0.000416,0.000416,0.000416
22,33903.5,1.00854,0.60508,0.96839,0.85371,0.71647,0.84773,0.5879,1.02158,0.64023,1.02454,0.0003368,0.0003368,0.0003368
23,34444.6,0.99445,0.59581,0.95907,0.85528,0.71985,0.85117,0.59264,1.00791,0.6328,1.02002,0.0002576,0.0002576,0.0002576
24,34985.5,0.97909,0.58879,0.95592,0.85921,0.72542,0.85431,0.59795,0.9953,0.62274,1.01285,0.0001784,0.0001784,0.0001784
25,35528.7,0.96914,0.58222,0.95073,0.86151,0.72447,0.85449,0.59862,0.98919,0.61948,1.01137,9.92e-05,9.92e-05,9.92e-05
